CODICE_CATASTALE;COMUNE;NUMERO;DATA_REGOLAMENTO;DATA_PUBBLICAZIONE;PR;REGIONE;FILE_REGOLAMENTO;FILE_DELIBERA;NOTE
C126;CASTELLAFIUME;4;20/03/2023;20/06/2023;AQ;Abruzzo;172367_CIMUNIC-01aq23c126d.pdf;172367_CIMUNIC-01aq23c126dAM.pdf;""
A345;L'AQUILA;45;15/03/2023;19/09/2023;AQ;Abruzzo;174780_CIMUNIC-01aq23a345d.pdf;174780_CIMUNIC-01aq23a345dAM.pdf;""
I326;SANTE MARIE;13;21/04/2023;28/04/2023;AQ;Abruzzo;169602_CIMUNIC-01aq23i326d.pdf;169602_CIMUNIC-01aq23i326dAM.pdf;""
D823;FURCI;7;31/05/2023;11/10/2023;CH;Abruzzo;176225_CIMUNIC-01ch23d823d.pdf;176225_CIMUNIC-01ch23d823dAM.pdf;""
L224;TORNARECCIO;6;19/05/2023;30/05/2023;CH;Abruzzo;171207_CIMUNIC-01ch23l224d.pdf;171207_CIMUNIC-01ch23l224dAM.pdf;""
B722;CARAMANICO TERME;7;28/04/2023;23/05/2023;PE;Abruzzo;170903_CIMUNIC-01pe23b722d.pdf;170903_CIMUNIC-01pe23b722dAM.pdf;""
C750;CITTA' SANT'ANGELO;50;29/11/2022;08/05/2023;PE;Abruzzo;170079_CIMUNIC-01pe23c750d.pdf;170079_CIMUNIC-01pe23c750dAM.pdf;""
G482;PESCARA;78;31/05/2023;03/07/2023;PE;Abruzzo;;172887_CIMUNIC-01pe23g482dAM.pdf;""
I922;SPOLTORE;17;11/04/2023;28/07/2023;PE;Abruzzo;173461_CIMUNIC-01pe23i922d.pdf;173461_CIMUNIC-01pe23i922dAM.pdf;""
C781;CIVITELLA DEL TRONTO;10;12/04/2023;27/09/2023;TE;Abruzzo;175279_CIMUNIC-01te23c781d.pdf;175279_CIMUNIC-01te23c781dAM.pdf;""
C901;COLONNELLA;11;23/05/2023;18/09/2023;TE;Abruzzo;174849_CIMUNIC-01te23c901d.pdf;174849_CIMUNIC-01te23c901dAM.pdf;""
C972;CONTROGUERRA;8;28/04/2023;25/05/2023;TE;Abruzzo;171054_CIMUNIC-01te23c972d.pdf;171054_CIMUNIC-01te23c972dAM.pdf;""
L307;TORTORETO;11;13/04/2023;29/05/2023;TE;Abruzzo;170976_CIMUNIC-01te23l307d.pdf;170976_CIMUNIC-01te23l307dAM.pdf;""
E213;GROTTOLE;6;31/05/2023;24/07/2023;MT;Basilicata;172954_CIMUNIC-02mt23e213d.pdf;172954_CIMUNIC-02mt23e213dAM.pdf;""
F052;MATERA;33;02/05/2023;18/05/2023;MT;Basilicata;170585_CIMUNIC-02mt23f052d.pdf;170585_CIMUNIC-02mt23f052dAM.pdf;""
F568;MONTEMILONE;6;07/03/2023;28/04/2023;PZ;Basilicata;169130_CIMUNIC-02pz23f568d.pdf;169130_CIMUNIC-02pz23f568dAM.pdf;""
H235;RENDE;18;30/05/2023;03/07/2023;CS;Calabria;171969_CIMUNIC-03cs23h235d.pdf;171969_CIMUNIC-03cs23h235dAM.pdf;""
D123;COTRONEI;16;22/05/2023;07/06/2023;KR;Calabria;171712_CIMUNIC-03kr23d123d.pdf;171712_CIMUNIC-03kr23d123dAM.pdf;""
F157;MESORACA;5;04/04/2023;18/07/2023;KR;Calabria;173225_CIMUNIC-03kr23f157d.pdf;173225_CIMUNIC-03kr23f157dAM.pdf;""
E041;GIOIA TAURO;2023;31/05/2023;23/09/2025;RC;Calabria;194724_CIMUNIC-03rc23e041d.pdf;194724_CIMUNIC-03rc23e041dAM.pdf;""
G288;PALMI;5;26/01/2023;12/05/2023;RC;Calabria;170325_CIMUNIC-03rc23g288d.pdf;170325_CIMUNIC-03rc23g288dAM.pdf;""
H785;SAN CALOGERO;11;01/07/2020;06/10/2023;VV;Calabria;175848_CIMUNIC-03vv23h785d.pdf;175848_CIMUNIC-03vv23h785dAM.pdf;""
I853;SORIANELLO;7;24/05/2023;05/06/2023;VV;Calabria;171342_CIMUNIC-03vv23i853d.pdf;171342_CIMUNIC-03vv23i853dAM.pdf;""
L607;VALLELONGA;04;13/05/2023;16/05/2025;VV;Calabria;192944_CIMUNIC-03vv23l607d.pdf;192944_CIMUNIC-03vv23l607dAM.pdf;""
C105;CASTELFRANCI;14;19/06/2023;16/08/2023;AV;Campania;174005_CIMUNIC-04av23c105d.pdf;174005_CIMUNIC-04av23c105dAM.pdf;""
