CODICE_CATASTALE;COMUNE;NUMERO;DATA_REGOLAMENTO;DATA_PUBBLICAZIONE;PR;REGIONE;FILE_REGOLAMENTO;FILE_DELIBERA;NOTE
C773;CIVITAVECCHIA;134;30/10/2025;14/11/2025;RM;Lazio;195703_CIMUNIC-07rm26c773d.pdf;195703_CIMUNIC-07rm26c773dAM.pdf;""
L579;VALGOGLIO;24;18/10/2025;12/11/2025;BG;Lombardia;195663_CIMUNIC-09bg26l579d.pdf;195663_CIMUNIC-09bg26l579dAM.pdf;""
D436;ESINO LARIO;36;28/11/2025;01/12/2025;LC;Lombardia;195943_CIMUNIC-09lc26d436d.pdf;195943_CIMUNIC-09lc26d436dAM.pdf;""
F423;MONTANASO LOMBARDO;24;29/07/2025;12/11/2025;LO;Lombardia;195664_CIMUNIC-09lo26f423d.pdf;195664_CIMUNIC-09lo26f423dAM.pdf;""
C503;CERESETO;14;21/11/2025;11/12/2025;AL;Piemonte;196163_CIMUNIC-12al26c503d.pdf;196163_CIMUNIC-12al26c503dAM.pdf;""
I980;STRONA;17;29/10/2025;19/11/2025;BI;Piemonte;;195803_CIMUNIC-12bi26i980dAM.pdf;""
