CODICE_CATASTALE;COMUNE;NUMERO;DATA_DELIBERA;DATA_PUBBLICAZIONE;PR;REGIONE;FILE_DELIBERA;NOTE;COMUNE FUSO CON ALIQUOTE DIFFERENZIATE;EX_COMUNE
D835;GABIANO;27;26/11/2025;10/12/2025;AL;Piemonte;13389_DIMUNIC-12al26d835d.pdf;"";NO;
D051;CORTANZE;14;28/11/2025;10/12/2025;AT;Piemonte;15604_DIMUNIC-12at26d051d.pdf;"";NO;
I555;SCURZOLENGO;25;27/11/2025;10/12/2025;AT;Piemonte;12855_DIMUNIC-12at26i555d.pdf;"";NO;
F833;MUZZANO;26;02/12/2025;10/12/2025;BI;Piemonte;15143_DIMUNIC-12bi26f833d.pdf;"";NO;
A117;ALA DI STURA;20;09/12/2025;10/12/2025;TO;Piemonte;15813_DIMUNIC-12to26a117d.pdf;"";NO;
D092;COSSANO CANAVESE;32;27/11/2025;11/12/2025;TO;Piemonte;13513_DIMUNIC-12to26d092d.pdf;"";NO;
D983;GERMAGNANO;23;25/11/2025;10/12/2025;TO;Piemonte;13274_DIMUNIC-12to26d983d.pdf;"";NO;
F318;MOMPANTERO;14;04/12/2025;10/12/2025;TO;Piemonte;12901_DIMUNIC-12to26f318d.pdf;"";NO;
F407;MONTALDO TORINESE;41;05/12/2025;10/12/2025;TO;Piemonte;13923_DIMUNIC-12to26f407d.pdf;"";NO;
G465;PERRERO;28;28/11/2025;10/12/2025;TO;Piemonte;12925_DIMUNIC-12to26g465d.pdf;"";NO;
D984;GERMAGNO;20;17/11/2025;10/12/2025;VB;Piemonte;12563_DIMUNIC-12vb26d984d.pdf;"";NO;
A358;ARBORIO;24;20/11/2025;11/12/2025;VC;Piemonte;12729_DIMUNIC-12vc26a358d.pdf;"";NO;
B998;CASSANO DELLE MURGE;45;17/11/2025;04/12/2025;BA;Puglia;12899_DIMUNIC-13ba26b998d.pdf;"";NO;
B809;CAROVIGNO;42;26/11/2025;03/12/2025;BR;Puglia;12759_DIMUNIC-13br26b809d.pdf;"";NO;
B904;CASALNUOVO MONTEROTARO;55;26/11/2025;05/12/2025;FG;Puglia;13529_DIMUNIC-13fg26b904d.pdf;"";NO;
H568;ROSETO VALFORTORE;41;19/11/2025;05/12/2025;FG;Puglia;12653_DIMUNIC-13fg26h568d.pdf;"";NO;
I641;SERRACAPRIOLA;26;21/11/2025;01/12/2025;FG;Puglia;12445_DIMUNIC-13fg26i641d.pdf;"";NO;
I963;STORNARELLA;29;28/11/2025;10/12/2025;FG;Puglia;13455_DIMUNIC-13fg26i963d.pdf;"";NO;
L842;VICO DEL GARGANO;56;26/11/2025;11/12/2025;FG;Puglia;12456_DIMUNIC-13fg26l842d.pdf;"";NO;
B792;CARMIANO;39;26/11/2025;03/12/2025;LE;Puglia;12997_DIMUNIC-13le26b792d.pdf;"";NO;
H632;RUFFANO;29;28/11/2025;05/12/2025;LE;Puglia;12968_DIMUNIC-13le26h632d.pdf;"";NO;
B675;CAPOTERRA;62;27/11/2025;09/12/2025;CA;Sardegna;12845_DIMUNIC-14ca26b675d.pdf;"";NO;
D399;ELMAS;50;26/11/2025;09/12/2025;CA;Sardegna;12681_DIMUNIC-14ca26d399d.pdf;"";NO;
I443;SARROCH;40;28/11/2025;09/12/2025;CA;Sardegna;13354_DIMUNIC-14ca26i443d.pdf;"";NO;
F933;NORAGUGUME;20;27/11/2025;09/12/2025;NU;Sardegna;13107_DIMUNIC-14nu26f933d.pdf;"";NO;
F271;RUINAS;30;28/11/2025;09/12/2025;OR;Sardegna;12926_DIMUNIC-14or26f271d.pdf;"";NO;
I374;SANTU LUSSURGIU;30;28/11/2025;09/12/2025;OR;Sardegna;15055_DIMUNIC-14or26i374d.pdf;"";NO;
I721;SIAPICCIA;19;24/11/2025;09/12/2025;OR;Sardegna;13862_DIMUNIC-14or26i721d.pdf;"";NO;
I743;SIMAXIS;20;26/11/2025;09/12/2025;OR;Sardegna;13765_DIMUNIC-14or26i743d.pdf;"";NO;
D334;DOMUSNOVAS;32;28/11/2025;09/12/2025;SU;Sardegna;12503_DIMUNIC-14su26d334d.pdf;"";NO;
H738;SAMASSI;39;24/11/2025;11/12/2025;SU;Sardegna;12883_DIMUNIC-14su26h738d.pdf;"";NO;
F250;MISTERBIANCO;95;26/11/2025;09/12/2025;CT;Sicilia;13067_DIMUNIC-15ct26f250d.pdf;"";NO;
A698;BASICO';27;25/11/2025;09/12/2025;ME;Sicilia;13456_DIMUNIC-15me26a698d.pdf;"";NO;
I220;SANTA LUCIA DEL MELA;32;25/11/2025;10/12/2025;ME;Sicilia;12566_DIMUNIC-15me26i220d.pdf;"";NO;
I311;SANTA TERESA DI RIVA;164;28/11/2025;09/12/2025;ME;Sicilia;14391_DIMUNIC-15me26i311d.pdf;"";NO;
C654;CHIUSA SCLAFANI;40;25/11/2025;09/12/2025;PA;Sicilia;13347_DIMUNIC-15pa26c654d.pdf;"";NO;
I431;SARENTINO;88;26/11/2025;10/12/2025;BZ;Trentino alto adige;196103_DIMUNIC-17bz26i431d.pdf;"";;
H612;ROVERETO;46;26/11/2025;10/12/2025;TN;Trentino alto adige;196004_DIMUNIC-17tn26h612d.pdf;"";;
I975;STREMBO;37;29/11/2025;11/12/2025;TN;Trentino alto adige;196183_DIMUNIC-17tn26i975d.pdf;"";;
D338;DONNAS;101;13/11/2025;09/12/2025;AO;Valle d'aosta;12455_DIMUNIC-19ao26d338d.pdf;"";NO;
E168;GRESSONEY-SAINT-JEAN;116;14/11/2025;09/12/2025;AO;Valle d'aosta;12683_DIMUNIC-19ao26e168d.pdf;"";NO;
E306;INTROD;50;27/11/2025;09/12/2025;AO;Valle d'aosta;13211_DIMUNIC-19ao26e306d.pdf;"";NO;
F726;MORGEX;36;27/11/2025;11/12/2025;AO;Valle d'aosta;16305_DIMUNIC-19ao26f726d.pdf;"";NO;
G012;OYACE;43;13/11/2025;09/12/2025;AO;Valle d'aosta;12613_DIMUNIC-19ao26g012d.pdf;"";NO;
G545;PONTBOSET;68;13/11/2025;09/12/2025;AO;Valle d'aosta;12666_DIMUNIC-19ao26g545d.pdf;"";NO;
H262;RHEMES-NOTRE-DAME;44;25/11/2025;09/12/2025;AO;Valle d'aosta;13214_DIMUNIC-19ao26h262d.pdf;"";NO;
H263;RHEMES-SAINT-GEORGES;44;26/11/2025;09/12/2025;AO;Valle d'aosta;13216_DIMUNIC-19ao26h263d.pdf;"";NO;
H497;ROISAN;48;04/12/2025;10/12/2025;AO;Valle d'aosta;15271_DIMUNIC-19ao26h497d.pdf;"";NO;
