CODICE_CATASTALE;COMUNE;NUMERO;DATA_REGOLAMENTO;DATA_PUBBLICAZIONE;PR;REGIONE;FILE_REGOLAMENTO;FILE_DELIBERA;NOTE
A593;BALESTRINO;29;23/12/2023;18/06/2024;SV;Liguria;185200_CIMUNIC-08sv24a593d.pdf;185200_CIMUNIC-08sv24a593dAM.pdf;""
B409;CALICE LIGURE;8;23/07/2020;03/10/2024;SV;Liguria;187935_CIMUNIC-08sv24b409d.pdf;187935_CIMUNIC-08sv24b409dAM.pdf;""
F213;MILLESIMO;36;30/12/2024;21/02/2025;SV;Liguria;191623_CIMUNIC-08sv24f213d.pdf;191623_CIMUNIC-08sv24f213dAM.pdf;""
E006;GHISALBA;49;21/12/2023;05/02/2024;BG;Lombardia;180626_CIMUNIC-09bg24e006d.pdf;180626_CIMUNIC-09bg24e006dAM.pdf;""
F864;NEMBRO;3;25/01/2024;22/03/2024;BG;Lombardia;182262_CIMUNIC-09bg24f864d.pdf;182262_CIMUNIC-09bg24f864dAM.pdf;""
G867;PONTIROLO NUOVO;32;27/11/2023;08/02/2024;BG;Lombardia;180908_CIMUNIC-09bg24g867d.pdf;180908_CIMUNIC-09bg24g867dAM.pdf;""
L795;VERTOVA;17;29/07/2024;03/09/2024;BG;Lombardia;186693_CIMUNIC-09bg24l795d.pdf;186693_CIMUNIC-09bg24l795dAM.pdf;""
M045;VILLONGO;10;30/04/2024;15/10/2024;BG;Lombardia;;188958_CIMUNIC-09bg24m045dAM.pdf;""
C585;CETO;32;03/11/2023;29/01/2024;BS;Lombardia;180425_CIMUNIC-09bs24c585d.pdf;180425_CIMUNIC-09bs24c585dAM.pdf;""
C806;COCCAGLIO;22;27/09/2024;03/10/2024;BS;Lombardia;187873_CIMUNIC-09bs24c806d.pdf;187873_CIMUNIC-09bs24c806dAM.pdf;""
D634;FLERO;6;30/04/2024;23/05/2024;BS;Lombardia;184305_CIMUNIC-09bs24d634d.pdf;184305_CIMUNIC-09bs24d634dAM.pdf;""
D918;GARDONE VAL TROMPIA;42;14/12/2023;17/01/2024;BS;Lombardia;179677_CIMUNIC-09bs24d918d.pdf;179677_CIMUNIC-09bs24d918dAM.pdf;""
L210;TORBOLE CASAGLIA;19;20/12/2023;11/01/2024;BS;Lombardia;179168_CIMUNIC-09bs24l210d.pdf;179168_CIMUNIC-09bs24l210dAM.pdf;""
A333;APPIANO GENTILE;39;28/12/2023;04/07/2024;CO;Lombardia;185398_CIMUNIC-09co24a333d.pdf;185398_CIMUNIC-09co24a333dAM.pdf;""
D416;ERBA;17;26/02/2024;11/04/2024;CO;Lombardia;182891_CIMUNIC-09co24d416d.pdf;182891_CIMUNIC-09co24d416dAM.pdf;""
E659;LOMAZZO;38;12/12/2023;02/01/2024;CO;Lombardia;178523_CIMUNIC-09co24e659d.pdf;178523_CIMUNIC-09co24e659dAM.pdf;""
E749;LURAGO D'ERBA;53;19/12/2023;19/06/2024;CO;Lombardia;;185281_CIMUNIC-09co24e749dAM.pdf;""
E272;GUSSOLA;12;15/04/2024;30/04/2024;CR;Lombardia;183360_CIMUNIC-09cr24e272d.pdf;183360_CIMUNIC-09cr24e272dAM.pdf;""
L296;TORRICELLA DEL PIZZO;13;15/04/2024;29/04/2024;CR;Lombardia;183362_CIMUNIC-09cr24l296d.pdf;183362_CIMUNIC-09cr24l296dAM.pdf;""
E305;INTROBIO;7;14/03/2024;10/04/2024;LC;Lombardia;182880_CIMUNIC-09lc24e305d.pdf;182880_CIMUNIC-09lc24e305dAM.pdf;""
I362;SANTO STEFANO LODIGIANO;4;29/01/2024;05/03/2024;LO;Lombardia;181777_CIMUNIC-09lo24i362d.pdf;181777_CIMUNIC-09lo24i362dAM.pdf;""
L469;TURANO LODIGIANO;48;30/12/2023;05/03/2024;LO;Lombardia;;181782_CIMUNIC-09lo24l469dAM.pdf;"TESTO REGOLAMENTO INSERITO NEL FILE DELLA DELIBERA"
E550;LESMO;3;16/02/2024;10/05/2024;MB;Lombardia;183821_CIMUNIC-09mb24e550d.pdf;183821_CIMUNIC-09mb24e550dAM.pdf;""
A473;ASSAGO;54;21/12/2023;14/02/2024;MI;Lombardia;181092_CIMUNIC-09mi24a473d.pdf;181092_CIMUNIC-09mi24a473dAM.pdf;""
B240;BUCCINASCO;4;04/03/2024;09/05/2024;MI;Lombardia;183700_CIMUNIC-09mi24b240d.pdf;183700_CIMUNIC-09mi24b240dAM.pdf;""
C033;CASSINETTA DI LUGAGNANO;14;22/04/2024;13/05/2024;MI;Lombardia;183883_CIMUNIC-09mi24c033d.pdf;183883_CIMUNIC-09mi24c033dAM.pdf;""
C052;CASTANO PRIMO;50;27/11/2024;17/01/2025;MI;Lombardia;190926_CIMUNIC-09mi24c052d.pdf;190926_CIMUNIC-09mi24c052dAM.pdf;""
E801;MAGENTA;47;21/12/2023;02/05/2024;MI;Lombardia;183449_CIMUNIC-09mi24e801d.pdf;183449_CIMUNIC-09mi24e801dAM.pdf;""
F939;NOSATE;22;28/11/2023;09/10/2024;MI;Lombardia;188327_CIMUNIC-09mi24f939d.pdf;188327_CIMUNIC-09mi24f939dAM.pdf;""
H240;RESCALDINA;64;22/12/2023;15/03/2024;MI;Lombardia;181990_CIMUNIC-09mi24h240d.pdf;181990_CIMUNIC-09mi24h240dAM.pdf;""
I577;SEGRATE;55;18/12/2023;05/01/2024;MI;Lombardia;178848_CIMUNIC-09mi24i577d.pdf;178848_CIMUNIC-09mi24i577dAM.pdf;""
C038;CASSOLNOVO;58;20/12/2023;04/03/2024;PV;Lombardia;181723_CIMUNIC-09pv24c038d.pdf;181723_CIMUNIC-09pv24c038dAM.pdf;""
C053;CASTEGGIO;7;14/03/2024;15/04/2024;PV;Lombardia;182947_CIMUNIC-09pv24c053d.pdf;182947_CIMUNIC-09pv24c053dAM.pdf;""
I236;TRAVACO' SICCOMARIO;5;15/03/2024;08/08/2024;PV;Lombardia;186184_CIMUNIC-09pv24i236d.pdf;186184_CIMUNIC-09pv24i236dAM.pdf;""
D990;GEROLA ALTA;27;10/12/2024;16/12/2024;SO;Lombardia;190223_CIMUNIC-09so24d990d.pdf;190223_CIMUNIC-09so24d990dAM.pdf;""
A891;BISUSCHIO;2;14/03/2024;09/10/2024;VA;Lombardia;;188356_CIMUNIC-09va24a891dAM.pdf;""
D869;GALLARATE;45;19/12/2023;22/01/2024;VA;Lombardia;179888_CIMUNIC-09va24d869d.pdf;179888_CIMUNIC-09va24d869dAM.pdf;""
C152;CASTELLEONE DI SUASA;4;15/03/2024;17/04/2024;AN;Marche;183062_CIMUNIC-10an24c152d.pdf;183062_CIMUNIC-10an24c152dAM.pdf;""
D007;CORINALDO;14;14/03/2024;15/04/2024;AN;Marche;182990_CIMUNIC-10an24d007d.pdf;182990_CIMUNIC-10an24d007dAM.pdf;""
F745;MORRO D'ALBA;5;22/01/2024;26/02/2024;AN;Marche;181545_CIMUNIC-10an24f745d.pdf;181545_CIMUNIC-10an24f745dAM.pdf;""
F487;MONTEDINOVE;25;27/12/2023;14/05/2024;AP;Marche;;183967_CIMUNIC-10ap24f487dAM.pdf;""
F347;MONDAVIO;17;05/06/2024;26/06/2024;PU;Marche;185447_CIMUNIC-10pu24f347d.pdf;185447_CIMUNIC-10pu24f347dAM.pdf;""
F450;MONTECALVO IN FOGLIA;63;21/12/2023;09/01/2024;PU;Marche;178834_CIMUNIC-10pu24f450d.pdf;178834_CIMUNIC-10pu24f450dAM.pdf;""
F055;MATRICE;21;10/12/2024;20/02/2025;CB;Molise;190284_CIMUNIC-11cb24f055d.pdf;190284_CIMUNIC-11cb24f055dAM.pdf;""
L505;URURI;27;19/12/2023;12/01/2024;CB;Molise;179371_CIMUNIC-11cb24l505d.pdf;179371_CIMUNIC-11cb24l505dAM.pdf;""
A052;ACQUI TERME;31;28/11/2024;15/01/2025;AL;Piemonte;190804_CIMUNIC-12al24a052d.pdf;190804_CIMUNIC-12al24a052dAM.pdf;""
A182;ALESSANDRIA;126;12/12/2023;18/03/2024;AL;Piemonte;182166_CIMUNIC-12al24a182d.pdf;182166_CIMUNIC-12al24a182dAM.pdf;""
A479;ASTI;32;06/12/2023;05/04/2024;AT;Piemonte;182773_CIMUNIC-12at24a479d.pdf;182773_CIMUNIC-12at24a479dAM.pdf;""
D388;DUSINO SAN MICHELE;30;16/12/2023;02/04/2024;AT;Piemonte;182648_CIMUNIC-12at24d388d.pdf;182648_CIMUNIC-12at24d388dAM.pdf;""
F311;MOMBARUZZO;4;12/03/2024;26/03/2024;AT;Piemonte;182470_CIMUNIC-12at24f311d.pdf;182470_CIMUNIC-12at24f311dAM.pdf;""
F336;MONCALVO;60;30/12/2024;21/03/2025;AT;Piemonte;192203_CIMUNIC-12at24f336d.pdf;192203_CIMUNIC-12at24f336dAM.pdf;""
L168;TIGLIOLE;34;18/11/2023;14/10/2024;AT;Piemonte;188773_CIMUNIC-12at24l168d.pdf;188773_CIMUNIC-12at24l168dAM.pdf;""
B586;CANDELO;73;19/12/2023;12/09/2024;BI;Piemonte;186908_CIMUNIC-12bi24b586d.pdf;186908_CIMUNIC-12bi24b586dAM.pdf;""
F993;OCCHIEPPO SUPERIORE;41;20/12/2024;18/02/2025;BI;Piemonte;191570_CIMUNIC-12bi24f993d.pdf;191570_CIMUNIC-12bi24f993dAM.pdf;""
L075;TAVIGLIANO;10;04/04/2024;20/06/2024;BI;Piemonte;185315_CIMUNIC-12bi24l075d.pdf;185315_CIMUNIC-12bi24l075dAM.pdf;""
A124;ALBA;78;21/12/2023;27/05/2024;CN;Piemonte;184383_CIMUNIC-12cn24a124d.pdf;184383_CIMUNIC-12cn24a124dAM.pdf;""
C165;CASTELLETTO STURA;34;18/12/2024;21/05/2025;CN;Piemonte;193045_CIMUNIC-12cn24c165d.pdf;193045_CIMUNIC-12cn24c165dAM.pdf;""
C550;CERVERE;7;27/03/2024;15/01/2025;CN;Piemonte;190875_CIMUNIC-12cn24c550d.pdf;190875_CIMUNIC-12cn24c550dAM.pdf;""
E894;MANTA;33;19/12/2023;08/05/2024;CN;Piemonte;183686_CIMUNIC-12cn24e894d.pdf;183686_CIMUNIC-12cn24e894dAM.pdf;""
H727;SALUZZO;74;21/12/2023;14/10/2024;CN;Piemonte;188833_CIMUNIC-12cn24h727d.pdf;188833_CIMUNIC-12cn24h727dAM.pdf;""
I470;SAVIGLIANO;4;28/02/2024;14/06/2024;CN;Piemonte;185194_CIMUNIC-12cn24i470d.pdf;185194_CIMUNIC-12cn24i470dAM.pdf;""
I750;SINIO;24;15/12/2023;10/04/2024;CN;Piemonte;;182871_CIMUNIC-12cn24i750dAM.pdf;""
E907;MARANO TICINO;22;28/12/2023;20/02/2024;NO;Piemonte;;181358_CIMUNIC-12no24e907dAM.pdf;""
F952;NOVARA;7;22/02/2024;15/03/2024;NO;Piemonte;182085_CIMUNIC-12no24f952d.pdf;182085_CIMUNIC-12no24f952dAM.pdf;""
F952;NOVARA;71;27/11/2023;22/01/2024;NO;Piemonte;179179_CIMUNIC-12no24f952d.pdf;179179_CIMUNIC-12no24f952dAM.pdf;""
L007;SUNO;5;20/02/2024;15/07/2024;NO;Piemonte;185751_CIMUNIC-12no24l007d.pdf;185751_CIMUNIC-12no24l007dAM.pdf;""
C627;CHIERI;130;21/12/2023;31/01/2024;TO;Piemonte;180576_CIMUNIC-12to24c627d.pdf;180576_CIMUNIC-12to24c627dAM.pdf;""
E518;LEINI;56;27/12/2023;19/08/2024;TO;Piemonte;186166_CIMUNIC-12to24e518d.pdf;186166_CIMUNIC-12to24e518dAM.pdf;""
F335;MONCALIERI;119;21/12/2023;19/03/2024;TO;Piemonte;182226_CIMUNIC-12to24f335d.pdf;182226_CIMUNIC-12to24f335dAM.pdf;""
F411;MONTALENGHE;27;15/12/2023;11/09/2024;TO;Piemonte;186902_CIMUNIC-12to24f411d.pdf;186902_CIMUNIC-12to24f411dAM.pdf;""
I327;SANTENA;14;13/04/2022;08/01/2024;TO;Piemonte;178960_CIMUNIC-12to24i327d.pdf;178960_CIMUNIC-12to24i327dAM.pdf;""
E853;MALESCO;11;24/04/2024;11/03/2025;VB;Piemonte;191973_CIMUNIC-12vb24e853d.pdf;191973_CIMUNIC-12vb24e853dAM.pdf;""
L669;VARALLO;33;20/12/2023;25/01/2024;VC;Piemonte;180193_CIMUNIC-12vc24l669d.pdf;180193_CIMUNIC-12vc24l669dAM.pdf;""
F376;MONOPOLI;68;19/12/2023;17/09/2024;BA;Puglia;187087_CIMUNIC-13ba24f376d.pdf;187087_CIMUNIC-13ba24f376dAM.pdf;""
L571;VALENZANO;9;16/02/2024;23/07/2024;BA;Puglia;185898_CIMUNIC-13ba24l571d.pdf;185898_CIMUNIC-13ba24l571dAM.pdf;""
B809;CAROVIGNO;31;20/11/2023;05/01/2024;BR;Puglia;178563_CIMUNIC-13br24b809d.pdf;178563_CIMUNIC-13br24b809dAM.pdf;""
A883;BISCEGLIE;127;28/12/2023;16/02/2024;BT;Puglia;181267_CIMUNIC-13bt24a883d.pdf;181267_CIMUNIC-13bt24a883dAM.pdf;""
F054;MATINO;77;28/12/2023;12/03/2024;LE;Puglia;182041_CIMUNIC-13le24f054d.pdf;182041_CIMUNIC-13le24f054dAM.pdf;""
A514;AVETRANA;9;09/04/2024;04/10/2024;TA;Puglia;187970_CIMUNIC-13ta24a514d.pdf;187970_CIMUNIC-13ta24a514dAM.pdf;""
E036;GINOSA;108;28/12/2023;25/01/2024;TA;Puglia;179967_CIMUNIC-13ta24e036d.pdf;179967_CIMUNIC-13ta24e036dAM.pdf;""
M298;STATTE;84;18/12/2023;10/09/2024;TA;Puglia;186853_CIMUNIC-13ta24m298d.pdf;186853_CIMUNIC-13ta24m298dAM.pdf;""
L049;TARANTO;250;19/12/2023;30/09/2024;TA;Puglia;187530_CIMUNIC-13ta24l049d.pdf;187530_CIMUNIC-13ta24l049dAM.pdf;"DELIBERA ADOTTATA IN VIA DI AUTOTUTELA "
L049;TARANTO;250;19/12/2023;10/05/2024;TA;Puglia;183751_CIMUNIC-13ta24l049d.pdf;183751_CIMUNIC-13ta24l049dAM.pdf;""
D287;DESULO;31;05/12/2023;08/01/2024;NU;Sardegna;178752_CIMUNIC-14nu24d287d.pdf;178752_CIMUNIC-14nu24d287dAM.pdf;""
E972;MARRUBIU;12;15/05/2023;04/11/2024;OR;Sardegna;188988_CIMUNIC-14or24e972d.pdf;188988_CIMUNIC-14or24e972dAM.pdf;""
E747;LUOGOSANTO;47;29/12/2023;25/01/2024;SS;Sardegna;180170_CIMUNIC-14ss24e747d.pdf;180170_CIMUNIC-14ss24e747dAM.pdf;"TESTO REGOLAMENTO INSERITO NEL FILE DELLA DELIBERA"
F667;MONTI;18;14/06/2024;18/06/2024;SS;Sardegna;185216_CIMUNIC-14ss24f667d.pdf;185216_CIMUNIC-14ss24f667dAM.pdf;"INAPPLICABILE PER IL 2024 (ADOTTATA OLTRE TERMINE BILANCIO)"
I428;SARDARA;26;17/06/2024;03/10/2024;SU;Sardegna;;187867_CIMUNIC-14su24i428dAM.pdf;""
I995;SUELLI;25;22/12/2023;19/09/2024;SU;Sardegna;187072_CIMUNIC-14su24i995d.pdf;187072_CIMUNIC-14su24i995dAM.pdf;""
H269;RIBERA;27;26/08/2024;08/10/2024;AG;Sicilia;188248_CIMUNIC-15ag24h269d.pdf;188248_CIMUNIC-15ag24h269dAM.pdf;""
A029;ACI SANT'ANTONIO;09;14/03/2024;29/03/2024;CT;Sicilia;182570_CIMUNIC-15ct24a029d.pdf;182570_CIMUNIC-15ct24a029dAM.pdf;""
F395;MONTAGNAREALE;5;08/03/2024;31/07/2024;ME;Sicilia;185903_CIMUNIC-15me24f395d.pdf;185903_CIMUNIC-15me24f395dAM.pdf;""
F773;MOTTA D'AFFERMO;7;13/03/2024;18/03/2025;ME;Sicilia;;192144_CIMUNIC-15me24f773dAM.pdf;"INEFFICACE PER IL 2024 - PUBBLICATA OLTRE IL 28/10/24"
G234;PAGLIARA;12;29/04/2024;17/05/2024;ME;Sicilia;184095_CIMUNIC-15me24g234d.pdf;184095_CIMUNIC-15me24g234dAM.pdf;""
L042;TAORMINA;25;22/07/2024;21/02/2025;ME;Sicilia;;191663_CIMUNIC-15me24l042dAM.pdf;""
L916;VILLABATE;8;16/03/2024;09/12/2024;PA;Sicilia;190108_CIMUNIC-15pa24l916d.pdf;190108_CIMUNIC-15pa24l916dAM.pdf;""
F258;MODICA;9;14/03/2024;29/04/2024;RG;Sicilia;183293_CIMUNIC-15rg24f258d.pdf;183293_CIMUNIC-15rg24f258dAM.pdf;""
B670;CAPOLONA;8;12/03/2024;05/08/2024;AR;Toscana;186097_CIMUNIC-16ar24b670d.pdf;186097_CIMUNIC-16ar24b670dAM.pdf;""
