CODICE_CATASTALE;COMUNE;NUMERO;DATA_REGOLAMENTO;DATA_PUBBLICAZIONE;PR;REGIONE;FILE_REGOLAMENTO;FILE_DELIBERA;NOTE
B514;CAMPITELLO DI FASSA;31;14/12/2023;03/01/2024;TN;Trentino alto adige;178591_CIMUNIC-17tn24b514d.pdf;178591_CIMUNIC-17tn24b514dAM.pdf;""
B579;CANAZEI;42;30/11/2023;06/12/2023;TN;Trentino alto adige;179432_CIMUNIC-17tn24b579d.pdf;179432_CIMUNIC-17tn24b579dAM.pdf;""
M355;CEMBRA LISIGNAGO;28;27/12/2023;24/01/2024;TN;Trentino alto adige;180166_CIMUNIC-17tn24m355d.pdf;180166_CIMUNIC-17tn24m355dAM.pdf;""
E048;GIOVO;2;05/03/2024;08/04/2024;TN;Trentino alto adige;182749_CIMUNIC-17tn24e048d.pdf;182749_CIMUNIC-17tn24e048dAM.pdf;""
E334;ISERA;6;30/03/2023;10/04/2024;TN;Trentino alto adige;182866_CIMUNIC-17tn24e334d.pdf;182866_CIMUNIC-17tn24e334dAM.pdf;""
E334;ISERA;23;31/07/2024;27/08/2024;TN;Trentino alto adige;186543_CIMUNIC-17tn24e334d.pdf;186543_CIMUNIC-17tn24e334dAM.pdf;""
F068;MAZZIN;19;19/12/2023;10/01/2024;TN;Trentino alto adige;179128_CIMUNIC-17tn24f068d.pdf;179128_CIMUNIC-17tn24f068dAM.pdf;""
F183;MEZZOCORONA;36;30/11/2023;02/01/2024;TN;Trentino alto adige;178288_CIMUNIC-17tn24f183d.pdf;178288_CIMUNIC-17tn24f183dAM.pdf;""
F263;MOENA;29/7;18/12/2023;11/01/2024;TN;Trentino alto adige;179314_CIMUNIC-17tn24f263d.pdf;179314_CIMUNIC-17tn24f263dAM.pdf;""
G305;PANCHIA';32;27/11/2023;04/10/2024;TN;Trentino alto adige;187883_CIMUNIC-17tn24g305d.pdf;187883_CIMUNIC-17tn24g305dAM.pdf;""
G419;PEIO;62;28/12/2023;25/01/2024;TN;Trentino alto adige;180297_CIMUNIC-17tn24g419d.pdf;180297_CIMUNIC-17tn24g419dAM.pdf;""
H607;ROVERE' DELLA LUNA;20;24/10/2024;15/11/2024;TN;Trentino alto adige;189563_CIMUNIC-17tn24h607d.pdf;189563_CIMUNIC-17tn24h607dAM.pdf;""
M390;SAN GIOVANNI DI FASSA;1;31/01/2024;14/02/2024;TN;Trentino alto adige;181090_CIMUNIC-17tn24m390d.pdf;181090_CIMUNIC-17tn24m390dAM.pdf;""
I839;SORAGA DI FASSA;33;28/11/2023;27/12/2023;TN;Trentino alto adige;178286_CIMUNIC-17tn24i839d.pdf;178286_CIMUNIC-17tn24i839dAM.pdf;""
L147;TESERO;43;23/11/2023;03/10/2024;TN;Trentino alto adige;187744_CIMUNIC-17tn24l147d.pdf;187744_CIMUNIC-17tn24l147dAM.pdf;""
L174;TIONE DI TRENTO;38;27/11/2023;27/12/2023;TN;Trentino alto adige;178503_CIMUNIC-17tn24l174d.pdf;178503_CIMUNIC-17tn24l174dAM.pdf;""
L200;TON;2;11/01/2024;26/01/2024;TN;Trentino alto adige;180349_CIMUNIC-17tn24l200d.pdf;180349_CIMUNIC-17tn24l200dAM.pdf;""
L378;TRENTO;101;26/10/2023;24/06/2024;TN;Trentino alto adige;185385_CIMUNIC-17tn24l378d.pdf;185385_CIMUNIC-17tn24l378dAM.pdf;""
M173;ZIANO DI FIEMME;33;27/12/2023;03/10/2024;TN;Trentino alto adige;187748_CIMUNIC-17tn24m173d.pdf;187748_CIMUNIC-17tn24m173dAM.pdf;""
G359;PASSIGNANO SUL TRASIMENO;57;27/12/2023;09/02/2024;PG;Umbria;180933_CIMUNIC-18pg24g359d.pdf;180933_CIMUNIC-18pg24g359dAM.pdf;""
M258;AVIGLIANO UMBRO;53;29/12/2023;12/01/2024;TR;Umbria;179413_CIMUNIC-18tr24m258d.pdf;179413_CIMUNIC-18tr24m258dAM.pdf;""
L117;TERNI;89;11/12/2023;20/02/2024;TR;Umbria;181348_CIMUNIC-18tr24l117d.pdf;181348_CIMUNIC-18tr24l117dAM.pdf;""
E687;LORENZAGO DI CADORE;32;19/12/2023;22/01/2024;BL;Veneto;179466_CIMUNIC-20bl24e687d.pdf;179466_CIMUNIC-20bl24e687dAM.pdf;""
M437;SETTEVILLE;38;27/11/2024;30/01/2025;BL;Veneto;191164_CIMUNIC-20bl24m437d.pdf;191164_CIMUNIC-20bl24m437dAM.pdf;""
L890;VIGO DI CADORE;31;22/12/2023;16/01/2024;BL;Veneto;179554_CIMUNIC-20bl24l890d.pdf;179554_CIMUNIC-20bl24l890dAM.pdf;""
F529;MONTEGROTTO TERME;41;18/12/2023;22/01/2024;PD;Veneto;179242_CIMUNIC-20pd24f529d.pdf;179242_CIMUNIC-20pd24f529dAM.pdf;""
G534;PIACENZA D'ADIGE;34;19/12/2024;05/09/2025;PD;Veneto;194406_CIMUNIC-20pd24g534d.pdf;194406_CIMUNIC-20pd24g534dAM.pdf;""
L939;VILLADOSE;16;18/03/2024;08/08/2024;RO;Veneto;186197_CIMUNIC-20ro24l939d.pdf;186197_CIMUNIC-20ro24l939dAM.pdf;""
B128;BREDA DI PIAVE;53;19/12/2023;14/02/2024;TV;Veneto;181157_CIMUNIC-20tv24b128d.pdf;181157_CIMUNIC-20tv24b128dAM.pdf;""
C638;CHIOGGIA;132;30/09/2024;29/10/2024;VE;Veneto;189230_CIMUNIC-20ve24c638d.pdf;189230_CIMUNIC-20ve24c638dAM.pdf;""
E215;GRUARO;32;23/11/2024;17/12/2024;VE;Veneto;190170_CIMUNIC-20ve24e215d.pdf;190170_CIMUNIC-20ve24e215dAM.pdf;""
A236;ALTISSIMO;33;10/10/2023;08/01/2024;VI;Veneto;;178826_CIMUNIC-20vi24a236dAM.pdf;""
C119;CASTELGOMBERTO;2;31/01/2024;14/02/2024;VI;Veneto;181154_CIMUNIC-20vi24c119d.pdf;181154_CIMUNIC-20vi24c119dAM.pdf;""
L840;VICENZA;83;19/12/2023;17/07/2024;VI;Veneto;185777_CIMUNIC-20vi24l840d.pdf;185777_CIMUNIC-20vi24l840dAM.pdf;""
E349;ISOLA DELLA SCALA;29;30/05/2024;17/07/2024;VR;Veneto;185784_CIMUNIC-20vr24e349d.pdf;185784_CIMUNIC-20vr24e349dAM.pdf;""
E349;ISOLA DELLA SCALA;30;30/05/2024;18/07/2024;VR;Veneto;185809_CIMUNIC-20vr24e349d.pdf;185809_CIMUNIC-20vr24e349dAM.pdf;""
E489;LAVAGNO;73;13/12/2023;19/01/2024;VR;Veneto;179479_CIMUNIC-20vr24e489d.pdf;179479_CIMUNIC-20vr24e489dAM.pdf;""
H048;PRESSANA;27;27/12/2023;29/05/2024;VR;Veneto;184558_CIMUNIC-20vr24h048d.pdf;184558_CIMUNIC-20vr24h048dAM.pdf;""
I775;SOAVE;1;17/01/2024;30/01/2024;VR;Veneto;180503_CIMUNIC-20vr24i775d.pdf;180503_CIMUNIC-20vr24i775dAM.pdf;""
I826;SONA;21;30/04/2024;31/07/2024;VR;Veneto;185970_CIMUNIC-20vr24i826d.pdf;185970_CIMUNIC-20vr24i826dAM.pdf;""
I826;SONA;22;30/04/2024;31/07/2024;VR;Veneto;185969_CIMUNIC-20vr24i826d.pdf;185969_CIMUNIC-20vr24i826dAM.pdf;""
